season,week,season_type,gameday,game_id,away_team,home_team,team_side,canonical_team,canonical_opponent,actual_starting_qb_name,actual_starting_qb_pfr_id,actual_starting_qb_gsis_id,starter_resolution_class,starter_source,starter_source_game_id,starter_source_locator,starter_source_rank,starter_evidence_class,historical_model_usage,postseason_flag,semantic_exception_flag,official_qb_start_credit,notes
2025,1,REG,2025-09-07,2025_01_ARI_NO,ARI,NO,away,ARI,NO,Kyler Murray,MurrKy00,00-0035228,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_ARI_NO,2025 Stathead pasted rank 242,242,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_ARI_NO,ARI,NO,home,NO,ARI,Spencer Rattler,RattSp00,00-0039376,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_ARI_NO,2025 Stathead pasted rank 3,3,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_BAL_BUF,BAL,BUF,away,BAL,BUF,Lamar Jackson,JackLa00,00-0034796,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_BAL_BUF,2025 Stathead pasted rank 381,381,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_BAL_BUF,BAL,BUF,home,BUF,BAL,Josh Allen,AlleJo02,00-0034857,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_BAL_BUF,2025 Stathead pasted rank 553,553,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_CAR_JAX,CAR,JAX,away,CAR,JAX,Bryce Young,YounBr01,00-0039150,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_CAR_JAX,2025 Stathead pasted rank 12,12,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_CAR_JAX,CAR,JAX,home,JAX,CAR,Trevor Lawrence,LawrTr00,00-0036971,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_CAR_JAX,2025 Stathead pasted rank 339,339,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_CIN_CLE,CIN,CLE,away,CIN,CLE,Joe Burrow,BurrJo01,00-0036442,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_CIN_CLE,2025 Stathead pasted rank 527,527,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_CIN_CLE,CIN,CLE,home,CLE,CIN,Joe Flacco,FlacJo00,00-0026158,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_CIN_CLE,2025 Stathead pasted rank 459,459,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-04,2025_01_DAL_PHI,DAL,PHI,away,DAL,PHI,Dak Prescott,PresDa01,00-0033077,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_DAL_PHI,2025 Stathead pasted rank 1,1,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-04,2025_01_DAL_PHI,DAL,PHI,home,PHI,DAL,Jalen Hurts,HurtJa00,00-0036389,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_DAL_PHI,2025 Stathead pasted rank 394,394,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_DET_GB,DET,GB,away,DET,GB,Jared Goff,GoffJa00,00-0033106,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_DET_GB,2025 Stathead pasted rank 430,430,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_DET_GB,DET,GB,home,GB,DET,Jordan Love,LoveJo03,00-0036264,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_DET_GB,2025 Stathead pasted rank 326,326,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_HOU_LA,HOU,LAR,away,HOU,LAR,C.J. Stroud,StroCJ00,00-0039163,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_HOU_LA,2025 Stathead pasted rank 7,7,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_HOU_LA,HOU,LAR,home,LAR,HOU,Matthew Stafford,StafMa00,00-0026498,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_HOU_LA,2025 Stathead pasted rank 6,6,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-05,2025_01_KC_LAC,KC,LAC,away,KC,LAC,Patrick Mahomes,MahoPa00,00-0033873,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_KC_LAC,2025 Stathead pasted rank 308,308,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-05,2025_01_KC_LAC,KC,LAC,home,LAC,KC,Justin Herbert,HerbJu00,00-0036355,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_KC_LAC,2025 Stathead pasted rank 413,413,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_LV_NE,LV,NE,away,LV,NE,Geno Smith,SmitGe00,00-0030565,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_LV_NE,2025 Stathead pasted rank 5,5,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_LV_NE,LV,NE,home,NE,LV,Drake Maye,MayeDr00,00-0039851,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_LV_NE,2025 Stathead pasted rank 281,281,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
2025,1,REG,2025-09-07,2025_01_MIA_IND,MIA,IND,away,MIA,IND,Tua Tagovailoa,TagoTu00,00-0036212,STATHEAD_UNAMBIGUOUS_SINGLE_CANDIDATE,STATHEAD_QB_STARTED_QUERY,2025_01_MIA_IND,2025 Stathead pasted rank 8,8,POSTGAME_ACTUAL_STARTER,ORACLE_STARTER_IDENTITY_ONLY,False,False,CREDITED,
