raw_player_name,display_name,pfr_id,gsis_id,position,mapping_source,mapping_rule
Brady Cook,Brady Cook,CookBr03,00-0040398,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Cam Ward,Cam Ward,WardCa00,00-0040676,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Chris Oladokun,Chris Oladokun,OladCh00,00-0037324,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Dillon Gabriel,Dillon Gabriel,GabrDi00,00-0040704,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
J.J. McCarthy,J.J. McCarthy,McCaJJ00,00-0039923,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Jaxson Dart,Jaxson Dart,DartJa00,00-0040691,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Max Brosmer,Max Brosmer,BrosMa00,00-0040494,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Quinn Ewers,Quinn Ewers,EwerQu00,00-0040234,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Riley Leonard,Riley Leonard,LeonRi02,00-0040206,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Shedeur Sanders,Shedeur Sanders,SandSh00,00-0040668,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Tyler Shough,Tyler Shough,ShouTy00,00-0040743,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
