raw_player_name,display_name,pfr_id,gsis_id,position,mapping_source,mapping_rule
Aaron Rodgers,Aaron Rodgers,RodgAa00,00-0023459,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Andy Dalton,Andy Dalton,DaltAn00,00-0027973,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Baker Mayfield,Baker Mayfield,MayfBa00,00-0034855,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Bo Nix,Bo Nix,NixxBo00,00-0039732,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Brady Cook,Brady Cook,CookBr03,00-0040398,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Brock Purdy,Brock Purdy,PurdBr00,00-0037834,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Bryce Young,Bryce Young,YounBr01,00-0039150,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
C.J. Stroud,C.J. Stroud,StroCJ00,00-0039163,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Caleb Williams,Caleb Williams,WillCa03,00-0039918,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Cam Ward,Cam Ward,WardCa00,00-0040676,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Carson Wentz,Carson Wentz,WentCa00,00-0032950,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Chris Oladokun,Chris Oladokun,OladCh00,00-0037324,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Clayton Tune,Clayton Tune,TuneCl00,00-0038582,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Cooper Rush,Cooper Rush,RushCo00,00-0033662,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Dak Prescott,Dak Prescott,PresDa01,00-0033077,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Daniel Jones,Daniel Jones,JoneDa05,00-0035710,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Davis Mills,Davis Mills,MillDa02,00-0036898,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Dillon Gabriel,Dillon Gabriel,GabrDi00,00-0040704,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Drake Maye,Drake Maye,MayeDr00,00-0039851,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Gardner Minshew II,Gardner Minshew,MinsGa00,00-0035289,QB,FROZEN_TASK04A_CROSSWALK,EXPLICIT_HISTORICAL_ALIAS:Gardner Minshew II->Gardner Minshew
Geno Smith,Geno Smith,SmitGe00,00-0030565,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
J.J. McCarthy,J.J. McCarthy,McCaJJ00,00-0039923,QB,NFLVERSE_PLAYERS_2026_08_29,EXACT_DISPLAY_OR_FOOTBALL_NAME_QB
Jacoby Brissett,Jacoby Brissett,BrisJa00,00-0033119,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Jake Browning,Jake Browning,BrowJa08,00-0035100,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
Jalen Hurts,Jalen Hurts,HurtJa00,00-0036389,QB,FROZEN_TASK04A_CROSSWALK,EXACT_HISTORICAL_NAME
