pfr_id,gsis_id,display_name,position
AlleBr00,00-0032434,Brandon Allen,QB
AlleJo02,00-0034857,Josh Allen,QB
AlleKy00,00-0034577,Kyle Allen,QB
AndeDe00,00-0023645,Derek Anderson,QB
BageTy00,00-0038416,Tyson Bagent,QB
BarkMa00,00-0030533,Matt Barkley,QB
BeatC.00,00-0033936,C.J. Beathard,QB
BlouDa00,00-0035040,David Blough,QB
BookIa00,00-0036929,Ian Book,QB
BortBl00,00-0031407,Blake Bortles,QB
BoylTi00,00-0034177,Tim Boyle,QB
BradSa00,00-0027854,Sam Bradford,QB
BradTo00,00-0019596,Tom Brady,QB
BreeDr00,00-0020531,Drew Brees,QB
BridTe00,00-0031237,Teddy Bridgewater,QB
BrisJa00,00-0033119,Jacoby Brissett,QB
BrowAn06,00-0037175,Anthony Brown,QB
BrowJa08,00-0035100,Jake Browning,QB
BurrJo01,00-0036442,Joe Burrow,QB
CarrDe02,00-0031280,Derek Carr,QB
CousKi00,00-0029604,Kirk Cousins,QB
DaltAn00,00-0027973,Andy Dalton,QB
DaniCh00,00-0026544,Chase Daniel,QB
DaniJa02,00-0039910,Jayden Daniels,QB
DarnSa00,00-0034869,Sam Darnold,QB
DeViTo00,00-0038476,Tommy DeVito,QB
DiNuBe00,00-0036384,Ben DiNucci,QB
DobbJo00,00-0033949,Joshua Dobbs,QB
DrisJe00,00-0032436,Jeff Driskel,QB
EhliSa00,00-0036879,Sam Ehlinger,QB
FalkLu00,00-0034412,Luke Falk,QB
FielJu00,00-0036945,Justin Fields,QB
FinlRy00,00-0035652,Ryan Finley,QB
FitzRy00,00-0023682,Ryan Fitzpatrick,QB
FlacJo00,00-0026158,Joe Flacco,QB
FoleNi00,00-0029567,Nick Foles,QB
FranFe00,00-0036825,Feleipe Franks,TE
FromJa00,00-0036197,Jake Fromm,QB
GabbBl00,00-0027948,Blaine Gabbert,QB
GaroJi00,00-0031345,Jimmy Garoppolo,QB
GilbGa01,00-0031395,Garrett Gilbert,QB
