game_id,team_side,canonical_team,researched_name,raw_candidate_name,candidate_pfr_id,crosswalk_name,comparison_status,resolution_basis,notes
2018_08_NO_MIN,away,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2018_08_NO_MIN,away,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2018_10_NO_CIN,away,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2018_10_NO_CIN,away,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2018_11_PHI_NO,home,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2018_11_PHI_NO,home,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2018_17_CAR_NO,home,NO,Teddy Bridgewater,Teddy Bridgewater,BridTe00,Teddy Bridgewater,EXACT_NAME_MATCH,EXACT_STRING,
2018_17_CAR_NO,home,NO,Teddy Bridgewater,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2019_05_TB_NO,home,NO,Teddy Bridgewater,Teddy Bridgewater,BridTe00,Teddy Bridgewater,EXACT_NAME_MATCH,EXACT_STRING,
2019_05_TB_NO,home,NO,Teddy Bridgewater,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2019_13_NO_ATL,away,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2019_13_NO_ATL,away,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2019_15_IND_NO,home,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2019_15_IND_NO,home,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2019_16_NO_TEN,away,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
2019_16_NO_TEN,away,NO,Drew Brees,Taysom Hill,HillTa00,Taysom Hill,TRUE_IDENTITY_MISMATCH,UNRESOLVED,
2019_17_NO_CAR,away,NO,Drew Brees,Drew Brees,BreeDr00,Drew Brees,EXACT_NAME_MATCH,EXACT_STRING,
