rank,player_name,pfr_id,raw_date,raw_week,raw_team,raw_location,raw_opp,raw_pos,existing_diagnosis
454,Sam Darnold,DarnSa00,2024-09-29,4,MIN,,GNB,QB,OPPONENT_MISMATCH
460,Daniel Jones,JoneDa05,2024-09-29,4,NYG,,DAL,QB,DATE_MISMATCH
462,Will Levis,LeviWi00,2024-09-29,4,TEN,@,MIA,QB,DATE_MISMATCH
469,Dak Prescott,PresDa01,2024-09-29,4,DAL,@,NYG,QB,DATE_MISMATCH
651,Easton Stick,SticEa00,2023-12-31,17,LAC,,KAN,QB,OPPONENT_MISMATCH
652,Jarrett Stidham,StidJa00,2023-12-31,17,DEN,,LVR,QB,OPPONENT_MISMATCH
655,Deshaun Watson,WatsDe00,2023-12-31,17,CLE,,NYJ,QB,DATE_MISMATCH
683,Tyrod Taylor,TaylTy00,2023-12-24,16,NYG,@,PHI,QB,DATE_MISMATCH
705,Nick Mullens,MullNi00,2023-12-17,15,MIN,@,CIN,QB,DATE_MISMATCH
716,Jarrett Stidham,StidJa00,2023-12-17,15,DEN,@,DET,QB,DATE_MISMATCH
801,Dak Prescott,PresDa01,2023-11-26,12,DAL,,WAS,QB,DATE_MISMATCH
845,Tyson Bagent,BageTy00,2023-11-12,10,CHI,,CAR,QB,DATE_MISMATCH
875,Russell Wilson,WilsRu00,2023-11-12,10,DEN,@,BUF,QB,DATE_MISMATCH
876,Bryce Young,YounBr01,2023-11-12,10,CAR,@,CHI,QB,DATE_MISMATCH
877,Josh Allen,AlleJo02,2023-11-05,9,BUF,@,NYJ,QB,OPPONENT_MISMATCH
