game_id,season,week,season_type,game_date,away_team,home_team,team_side,canonical_team,possible_unmatched_rank,possible_link_reason,possible_link_confidence
2020_12_NO_DEN,2020,12,REG,2020-11-29,NO,DEN,home,DEN,,,NO_OBVIOUS_RAW_ROW
2023_06_ARI_LA,2023,6,REG,2023-10-15,ARI,LAR,away,ARI,,,NO_OBVIOUS_RAW_ROW
2023_06_DAL_LAC,2023,6,REG,2023-10-16,DAL,LAC,away,DAL,,,NO_OBVIOUS_RAW_ROW
2023_06_DAL_LAC,2023,6,REG,2023-10-16,DAL,LAC,home,LAC,,,NO_OBVIOUS_RAW_ROW
2023_06_DET_TB,2023,6,REG,2023-10-15,DET,TB,away,DET,,,NO_OBVIOUS_RAW_ROW
2023_06_MIN_CHI,2023,6,REG,2023-10-15,MIN,CHI,away,MIN,,,NO_OBVIOUS_RAW_ROW
2023_06_MIN_CHI,2023,6,REG,2023-10-15,MIN,CHI,home,CHI,,,NO_OBVIOUS_RAW_ROW
2023_06_NE_LV,2023,6,REG,2023-10-15,NE,LV,home,LV,,,NO_OBVIOUS_RAW_ROW
2023_06_NO_HOU,2023,6,REG,2023-10-15,NO,HOU,away,NO,,,NO_OBVIOUS_RAW_ROW
2023_06_NYG_BUF,2023,6,REG,2023-10-15,NYG,BUF,home,BUF,,,NO_OBVIOUS_RAW_ROW
2023_06_SEA_CIN,2023,6,REG,2023-10-15,SEA,CIN,home,CIN,,,NO_OBVIOUS_RAW_ROW
2023_06_WAS_ATL,2023,6,REG,2023-10-15,WAS,ATL,away,WAS,,,NO_OBVIOUS_RAW_ROW
2023_07_CLE_IND,2023,7,REG,2023-10-22,CLE,IND,away,CLE,,,NO_OBVIOUS_RAW_ROW
2023_07_GB_DEN,2023,7,REG,2023-10-22,GB,DEN,home,DEN,,,NO_OBVIOUS_RAW_ROW
2023_07_MIA_PHI,2023,7,REG,2023-10-22,MIA,PHI,away,MIA,,,NO_OBVIOUS_RAW_ROW
2023_07_PIT_LA,2023,7,REG,2023-10-22,PIT,LAR,away,PIT,,,NO_OBVIOUS_RAW_ROW
2023_09_BUF_CIN,2023,9,REG,2023-11-05,BUF,CIN,away,BUF,,,NO_OBVIOUS_RAW_ROW
2023_10_CAR_CHI,2023,10,REG,2023-11-09,CAR,CHI,away,CAR,,,NO_OBVIOUS_RAW_ROW
