game_id,season,season_type,week,team,opponent,passing_epa,rushing_epa,passing_yards,rushing_yards
fx-001,2024,REG,1,AAA,BBB,1.2,0.4,250,110
fx-001,2024,REG,1,BBB,AAA,-0.4,-0.1,180,80
fx-002,2024,REG,2,BBB,AAA,0.3,0.1,215,95
fx-002,2024,REG,2,AAA,BBB,-0.2,0.0,205,100
fx-003,2024,REG,3,AAA,BBB,0.8,0.2,240,120
fx-003,2024,REG,3,BBB,AAA,-0.1,0.1,210,90
fx-004,2024,REG,5,BBB,AAA,-0.8,0.2,175,85
fx-004,2024,REG,5,AAA,BBB,1.4,0.5,275,140
fx-006,2024,WC,19,BBB,AAA,0.4,0.1,225,105
fx-006,2024,WC,19,AAA,BBB,0.1,0.2,215,115
