family,model,bucket,N,wins,losses,pushes,hit_rate,avg_american,avg_decimal,avg_breakeven,avg_edge_pp,unique_weeks,profit,roi,hr_minus_be
LONG_DOG_201+_CONTEXT,AVG,LONG201+,166,39,127,0,0.2349,366.51,4.6651,0.2381,9.5511,36,-6.75,-0.0407,-0.0031
LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,153,33,120,0,0.2157,360.42,4.6042,0.2406,8.1254,41,-16.6,-0.1085,-0.0249
LONG_DOG_201+_CONTEXT,XGB,LONG201+,171,40,131,0,0.2339,362.31,4.6231,0.2397,12.7785,36,-11.4,-0.0667,-0.0058
ML_AVG_DISAGREEMENT,AVG,0-2,90,33,57,0,0.3667,44.69,2.4553,0.4696,0.9593,34,-25.322,-0.2814,-0.1029
ML_AVG_DISAGREEMENT,AVG,12+,107,22,85,0,0.2056,239.14,3.5357,0.3373,16.7347,34,-44.037,-0.4116,-0.1317
ML_AVG_DISAGREEMENT,AVG,2-4,72,32,40,0,0.4444,59.32,2.6022,0.4652,2.9729,30,-5.203,-0.0723,-0.0208
ML_AVG_DISAGREEMENT,AVG,4-8,143,57,86,0,0.3986,130.8,2.9192,0.4154,6.0098,32,-7.724,-0.054,-0.0168
ML_AVG_DISAGREEMENT,AVG,8-12,88,39,49,0,0.4432,189.85,3.227,0.3761,9.6263,34,22.787,0.2589,0.0671
ML_CORROBORATED_DISAGREEMENT,CORROB,0-2,9,2,7,0,0.2222,53.11,2.6217,0.4458,1.3693,9,-5.618,-0.6242,-0.2236
ML_CORROBORATED_DISAGREEMENT,CORROB,12+,106,21,85,0,0.1981,240.28,3.5485,0.3362,16.7674,34,-45.217,-0.4266,-0.1381
ML_CORROBORATED_DISAGREEMENT,CORROB,2-4,41,17,24,0,0.4146,88.85,2.648,0.4444,3.0417,25,-4.477,-0.1092,-0.0298
ML_CORROBORATED_DISAGREEMENT,CORROB,4-8,97,37,60,0,0.3814,125.6,2.9379,0.4215,6.2259,31,-11.461,-0.1182,-0.0401
ML_CORROBORATED_DISAGREEMENT,CORROB,8-12,78,32,46,0,0.4103,182.05,3.165,0.384,9.545,31,7.867,0.1009,0.0262
ML_DOG_VALUE_ZONE,AVG,ZONE,101,32,69,0,0.3168,146.8,2.468,0.4083,5.3671,33,-23.32,-0.2309,-0.0915
ML_DOG_VALUE_ZONE,CORROB,ZONE,55,15,40,0,0.2727,153.49,2.5349,0.3978,7.4383,28,-17.52,-0.3185,-0.1251
ML_DOG_VALUE_ZONE,QB_ELO,ZONE,82,29,53,0,0.3537,147.26,2.4726,0.4076,5.7484,34,-11.41,-0.1391,-0.0539
ML_DOG_VALUE_ZONE,XGB,ZONE,87,23,64,0,0.2644,150.08,2.5008,0.4035,6.5982,30,-28.98,-0.3331,-0.1391
ML_QBELO_DISAGREEMENT,QB_ELO,0-2,102,57,45,0,0.5588,-8.01,2.3491,0.5063,1.0558,38,15.529,0.1522,0.0525
ML_QBELO_DISAGREEMENT,QB_ELO,12+,111,44,67,0,0.3964,142.29,2.8986,0.4094,17.9782,36,-4.295,-0.0387,-0.013
ML_QBELO_DISAGREEMENT,QB_ELO,2-4,82,35,47,0,0.4268,71.33,2.8486,0.4621,3.0405,35,-12.133,-0.148,-0.0353
ML_QBELO_DISAGREEMENT,QB_ELO,4-8,170,64,106,0,0.3765,61.95,2.7235,0.4535,6.0178,42,-42.4,-0.2494,-0.077
ML_QBELO_DISAGREEMENT,QB_ELO,8-12,105,43,62,0,0.4095,82.21,2.6515,0.452,9.7819,35,-5.046,-0.0481,-0.0424
ML_XGB_DISAGREEMENT,XGB,0-2,73,28,45,0,0.3836,37.92,2.6205,0.4831,0.9886,30,-23.957,-0.3282,-0.0996
ML_XGB_DISAGREEMENT,XGB,12+,166,45,121,0,0.2711,249.83,3.6028,0.3252,18.4909,36,-28.959,-0.1745,-0.0541
ML_XGB_DISAGREEMENT,XGB,2-4,71,23,48,0,0.3239,69.06,2.4957,0.4459,2.9926,27,-16.802,-0.2367,-0.1219
ML_XGB_DISAGREEMENT,XGB,4-8,98,44,54,0,0.449,76.45,2.6531,0.4534,5.8028,34,-5.709,-0.0583,-0.0044
ML_XGB_DISAGREEMENT,XGB,8-12,92,37,55,0,0.4022,144.21,2.8976,0.4118,9.9359,33,2.874,0.0312,-0.0096
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,0-1,104,62,41,1,0.5962,-104.61,1.9083,0.5243,0.5547,36,14.892,0.1432,0.0718
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,1-2,73,35,34,4,0.4795,-98.52,1.9155,0.5223,1.4779,32,-1.754,-0.024,-0.0429
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,2-3,94,43,48,3,0.4574,-109.18,1.8999,0.5265,2.4877,35,-9.269,-0.0986,-0.0691
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,3-4,69,32,35,2,0.4638,-104.52,1.9086,0.5242,3.517,34,-5.653,-0.0819,-0.0605
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,4+,226,107,114,5,0.4735,-104.25,1.9075,0.5245,6.5535,43,-17.355,-0.0768,-0.0511
TOTAL_R4_DISAGREEMENT,RIDGE_R4,0-1,112,45,64,3,0.4018,-106.38,1.9252,0.5195,0.5209,38,-22.163,-0.1979,-0.1177
TOTAL_R4_DISAGREEMENT,RIDGE_R4,1-2,117,53,63,1,0.453,-108.13,1.9253,0.5195,1.4812,41,-13.881,-0.1186,-0.0665
TOTAL_R4_DISAGREEMENT,RIDGE_R4,2-3,114,56,57,1,0.4912,-108.68,1.9207,0.5207,2.4813,38,-5.499,-0.0482,-0.0295
TOTAL_R4_DISAGREEMENT,RIDGE_R4,3-4,75,31,44,0,0.4133,-108.27,1.9242,0.5198,3.4976,36,-15.339,-0.2045,-0.1064
