family,model,bucket,N,wins,losses,pushes,hit_rate,avg_american,avg_decimal,avg_breakeven,avg_edge_pp,unique_weeks,profit,roi,hr_minus_be
LONG_DOG_201+_CONTEXT,AVG,LONG201+,286,51,234,1,0.1783,367.14,4.6714,0.2356,10.6632,52,-59.75,-0.2089,-0.0573
LONG_DOG_201+_CONTEXT,QB_ELO,LONG201+,275,48,226,1,0.1745,355.94,4.5594,0.2402,9.6103,58,-65.4,-0.2378,-0.0657
LONG_DOG_201+_CONTEXT,XGB,LONG201+,292,50,240,2,0.1712,366.14,4.6614,0.2358,14.492,52,-72.0,-0.2466,-0.0646
ML_AVG_DISAGREEMENT,AVG,0-2,126,69,57,0,0.5476,31.62,2.5356,0.4855,0.9711,49,17.298,0.1373,0.0621
ML_AVG_DISAGREEMENT,AVG,12+,192,54,138,0,0.2812,257.09,3.7025,0.3126,16.5036,49,-24.96,-0.13,-0.0314
ML_AVG_DISAGREEMENT,AVG,2-4,94,46,46,2,0.4894,57.74,2.6177,0.46,2.9569,41,5.616,0.0597,0.0293
ML_AVG_DISAGREEMENT,AVG,4-8,191,74,117,0,0.3874,135.43,3.0532,0.4107,6.0739,51,-8.709,-0.0456,-0.0233
ML_AVG_DISAGREEMENT,AVG,8-12,130,44,85,1,0.3385,192.93,3.2703,0.3634,9.8929,48,-7.802,-0.06,-0.025
ML_CORROBORATED_DISAGREEMENT,CORROB,0-2,14,6,8,0,0.4286,221.29,3.5389,0.3699,1.32,12,5.264,0.376,0.0586
ML_CORROBORATED_DISAGREEMENT,CORROB,12+,190,53,137,0,0.2789,254.4,3.677,0.3142,16.5396,49,-28.71,-0.1511,-0.0353
ML_CORROBORATED_DISAGREEMENT,CORROB,2-4,34,14,20,0,0.4118,109.91,2.9077,0.4282,3.0546,29,-4.62,-0.1359,-0.0164
ML_CORROBORATED_DISAGREEMENT,CORROB,4-8,124,45,79,0,0.3629,142.11,3.143,0.4106,6.1513,47,-13.118,-0.1058,-0.0477
ML_CORROBORATED_DISAGREEMENT,CORROB,8-12,115,38,76,1,0.3304,180.63,3.1552,0.3727,9.9948,48,-12.202,-0.1061,-0.0423
ML_DOG_VALUE_ZONE,AVG,ZONE,131,66,65,0,0.5038,152.49,2.5249,0.3993,6.4759,48,35.16,0.2684,0.1046
ML_DOG_VALUE_ZONE,CORROB,ZONE,85,42,43,0,0.4941,158.19,2.5819,0.3905,8.1652,39,23.86,0.2807,0.1036
ML_DOG_VALUE_ZONE,QB_ELO,ZONE,115,54,60,1,0.4696,150.87,2.5087,0.4024,6.6592,51,21.93,0.1907,0.0672
ML_DOG_VALUE_ZONE,XGB,ZONE,130,60,70,0,0.4615,149.88,2.4988,0.4034,6.6136,48,19.29,0.1484,0.0582
ML_QBELO_DISAGREEMENT,QB_ELO,0-2,132,57,74,1,0.4318,27.96,2.8377,0.4735,1.0323,55,6.509,0.0493,-0.0416
ML_QBELO_DISAGREEMENT,QB_ELO,12+,189,64,124,1,0.3386,157.79,3.0257,0.3851,18.1182,57,-30.038,-0.1589,-0.0465
ML_QBELO_DISAGREEMENT,QB_ELO,2-4,122,56,65,1,0.459,-8.48,2.4402,0.5079,3.0102,54,-14.334,-0.1175,-0.0489
ML_QBELO_DISAGREEMENT,QB_ELO,4-8,214,94,120,0,0.4393,57.83,2.7465,0.4567,5.8427,60,-21.596,-0.1009,-0.0174
ML_QBELO_DISAGREEMENT,QB_ELO,8-12,181,70,110,1,0.3867,123.09,2.9694,0.4181,10.0201,56,-9.899,-0.0547,-0.0313
ML_XGB_DISAGREEMENT,XGB,0-2,83,36,47,0,0.4337,12.01,2.4368,0.5042,0.9609,43,-16.31,-0.1965,-0.0705
ML_XGB_DISAGREEMENT,XGB,12+,287,84,202,1,0.2927,252.66,3.7353,0.3176,18.9187,53,-19.685,-0.0686,-0.0249
ML_XGB_DISAGREEMENT,XGB,2-4,70,26,44,0,0.3714,103.87,2.8604,0.4353,3.021,38,-10.959,-0.1566,-0.0638
ML_XGB_DISAGREEMENT,XGB,4-8,168,73,95,0,0.4345,110.32,2.7401,0.4278,5.9849,49,4.306,0.0256,0.0067
ML_XGB_DISAGREEMENT,XGB,8-12,125,47,76,2,0.376,151.58,3.0079,0.3939,9.8486,45,-14.416,-0.1153,-0.0179
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,0-1,107,59,46,2,0.5514,-102.64,1.9101,0.5238,0.503,52,7.555,0.0706,0.0276
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,1-2,133,75,58,0,0.5639,-110.74,1.9044,0.5253,1.4958,50,9.636,0.0724,0.0386
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,2-3,116,66,46,4,0.569,-106.79,1.9085,0.5242,2.5084,51,14.125,0.1218,0.0448
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,3-4,104,62,42,0,0.5962,-96.12,1.9144,0.5226,3.4451,53,14.774,0.1421,0.0735
SPREAD_DISAGREEMENT,EXPECTED_MARGIN,4+,369,174,190,5,0.4715,-108.04,1.9086,0.5241,6.9763,61,-32.253,-0.0874,-0.0526
TOTAL_R4_DISAGREEMENT,RIDGE_R4,0-1,192,101,90,1,0.526,-108.39,1.923,0.5201,0.4807,58,3.32,0.0173,0.006
TOTAL_R4_DISAGREEMENT,RIDGE_R4,1-2,160,77,83,0,0.4813,-107.21,1.9224,0.5202,1.4811,58,-11.886,-0.0743,-0.039
TOTAL_R4_DISAGREEMENT,RIDGE_R4,2-3,161,81,78,2,0.5031,-109.01,1.9177,0.5215,2.4807,56,-3.7,-0.023,-0.0184
TOTAL_R4_DISAGREEMENT,RIDGE_R4,3-4,129,68,59,2,0.5271,-108.43,1.9227,0.5202,3.4842,53,3.83,0.0297,0.007
TOTAL_R4_DISAGREEMENT,RIDGE_R4,4+,196,102,94,0,0.5204,-108.48,1.9222,0.5203,5.6858,55,-0.092,-0.0005,0.0001
