candidate,season,side,N,wins,pushes,hit_rate,profit,roi,avg_breakeven,hr_minus_be,avg_p_model,avg_price,avg_edge_pp,brier
AVG_0_2,2020,home,16,10,0,0.625,1.1605,0.0725,0.6143,0.0107,0.6091,-158.06,1.0388,0.2195
AVG_0_2,2020,away,23,11,0,0.4783,4.2203,0.1835,0.4518,0.0265,0.4496,86.83,0.9522,0.2547
AVG_0_2,2021,home,16,11,0,0.6875,8.4862,0.5304,0.5666,0.1209,0.5604,-74.5,0.9395,0.2455
AVG_0_2,2021,away,21,7,0,0.3333,-4.4953,-0.2141,0.3575,-0.0241,0.3535,201.9,1.0532,0.1749
AVG_0_2,2022,home,19,15,0,0.7895,7.446,0.3919,0.5804,0.209,0.5781,-107.16,1.0321,0.2015
AVG_0_2,2022,away,31,15,0,0.4839,0.4803,0.0155,0.4308,0.0531,0.4282,113.03,0.8735,0.2034
AVG_0_2,2023,home,18,6,0,0.3333,-7.2841,-0.4047,0.5145,-0.1812,0.5117,-1.83,0.9353,0.2254
AVG_0_2,2023,away,24,2,0,0.0833,-18.27,-0.7612,0.4072,-0.3238,0.4012,127.08,1.0126,0.2008
AVG_0_2,2024,home,18,12,0,0.6667,-0.692,-0.0384,0.6205,0.0462,0.6139,-177.78,1.0142,0.1309
AVG_0_2,2024,away,30,13,0,0.4333,0.9243,0.0308,0.402,0.0313,0.3965,140.17,0.8982,0.2107
AVG_0_2,POOL,home,87,54,0,0.6207,9.1166,0.1048,0.5788,0.0419,0.5742,-103.33,0.9926,0.2032
AVG_0_2,POOL,away,129,48,0,0.3721,-17.1404,-0.1329,0.4115,-0.0394,0.4074,131.75,0.9484,0.2091
