candidate,season,side,N,wins,pushes,hit_rate,profit,roi,avg_breakeven,hr_minus_be,avg_p_model,avg_price,avg_edge_pp,brier
DOG_AVG,2020,home,20,10,0,0.5,5.0,0.25,0.4029,0.0971,0.4639,149.9,7.1582,0.2504
DOG_AVG,2020,away,16,11,0,0.6875,10.56,0.66,0.4093,0.2782,0.4486,145.94,5.1866,0.2655
DOG_AVG,2021,home,19,8,0,0.4211,1.76,0.0926,0.3862,0.0348,0.4518,160.63,7.8859,0.2367
DOG_AVG,2021,away,30,17,0,0.5667,12.89,0.4297,0.4029,0.1638,0.4437,150.13,5.4268,0.2558
DOG_AVG,2022,home,20,10,0,0.5,6.48,0.324,0.388,0.112,0.4575,159.6,8.1121,0.2547
DOG_AVG,2022,away,26,10,0,0.3846,-1.53,-0.0588,0.4043,-0.0197,0.4454,149.81,5.6658,0.2372
DOG_AVG,2023,home,24,10,0,0.4167,0.42,0.0175,0.4078,0.0089,0.4513,147.92,5.5168,0.2429
DOG_AVG,2023,away,34,7,0,0.2059,-16.98,-0.4994,0.4068,-0.2009,0.438,147.29,4.8842,0.2125
DOG_AVG,2024,home,16,2,0,0.125,-10.84,-0.6775,0.4018,-0.2768,0.4562,150.38,6.5017,0.2288
DOG_AVG,2024,away,27,13,0,0.4815,4.08,0.1511,0.4144,0.067,0.4493,143.07,5.1699,0.2487
DOG_AVG,POOL,home,99,40,0,0.404,2.82,0.0285,0.3977,0.0063,0.456,153.52,6.9866,0.2433
DOG_AVG,POOL,away,133,58,0,0.4361,9.02,0.0678,0.4073,0.0288,0.4443,147.41,5.2538,0.2408
