candidate,season,side,N,wins,pushes,hit_rate,profit,roi,avg_breakeven,hr_minus_be,avg_p_model,avg_price,avg_edge_pp,brier
DOG_CORROB,2020,home,14,7,0,0.5,4.4,0.3143,0.39,0.11,0.4708,157.64,9.1976,0.2534
DOG_CORROB,2020,away,10,7,0,0.7,7.56,0.756,0.3956,0.3044,0.4492,154.3,6.7455,0.2726
DOG_CORROB,2021,home,11,5,0,0.4545,2.13,0.1936,0.3738,0.0808,0.4597,169.18,9.9034,0.2301
DOG_CORROB,2021,away,20,10,0,0.5,5.27,0.2635,0.398,0.102,0.4477,153.4,6.3079,0.2392
DOG_CORROB,2022,home,15,7,0,0.4667,4.0,0.2667,0.3814,0.0853,0.4634,164.13,9.3823,0.2474
DOG_CORROB,2022,away,15,6,0,0.4,0.5,0.0333,0.3992,0.0008,0.4637,153.67,8.133,0.2455
DOG_CORROB,2023,home,15,5,0,0.3333,-2.0,-0.1333,0.3917,-0.0583,0.4524,158.0,7.4222,0.2382
DOG_CORROB,2023,away,19,5,0,0.2632,-6.7,-0.3526,0.3976,-0.1344,0.448,153.42,6.6771,0.228
DOG_CORROB,2024,home,8,0,0,0.0,-8.0,-1.0,0.3934,-0.3934,0.4721,156.0,9.1766,0.2231
DOG_CORROB,2024,away,13,5,0,0.3846,-0.82,-0.0631,0.4079,-0.0233,0.4632,146.85,7.4995,0.2468
DOG_CORROB,POOL,home,63,24,0,0.381,0.53,0.0084,0.3859,-0.005,0.4629,161.08,8.9394,0.2404
DOG_CORROB,POOL,away,77,33,0,0.4286,5.81,0.0755,0.3995,0.0291,0.4537,152.47,7.0125,0.2433
