game_id,season,selected_side,p_model,edge_pp,price_american,home_team,away_team,home_score,away_score,ledger_w,recomputed_w,ledger_profit,recomputed_profit,match
2020_03_GB_NO,2020,away,0.4992495404843905,12.263983772258607,152,NO,GB,30,37,1,1,1.52,1.52,true
2020_04_ARI_CAR,2020,home,0.4760111903534511,7.469101742939205,143,CAR,ARI,31,21,1,1,1.43,1.43,true
2020_04_BUF_LV,2020,home,0.4534975162464856,6.343177482939283,152,LV,BUF,23,30,0,0,-1.0,-1.0,true
2020_04_CLE_DAL,2020,away,0.41636421780253574,3.9754515040731295,160,DAL,CLE,38,49,1,1,1.6,1.6,true
2020_04_MIN_HOU,2020,away,0.43196640768624717,5.1606794961489175,150,HOU,MIN,23,31,1,1,1.5,1.5,true
2020_07_SEA_ARI,2020,home,0.424314024993452,5.6690677686131785,166,ARI,SEA,37,34,1,1,1.66,1.66,true
2020_07_SF_NE,2020,away,0.47374038283696285,6.1112664733740445,138,NE,SF,6,33,1,1,1.38,1.38,true
2020_07_TB_LV,2020,home,0.4910376958493171,12.86143502679976,175,LV,TB,20,45,0,0,-1.0,-1.0,true
2020_08_IND_DET,2020,home,0.41662788830234554,4.182939286978238,160,DET,IND,21,41,0,0,-1.0,-1.0,true
2020_08_LA_MIA,2020,home,0.4876522374477017,10.3015097337967,146,MIA,LAR,28,17,1,1,1.46,1.46,true
2020_09_DEN_ATL,2020,away,0.41759052347570724,7.265338373077918,176,ATL,DEN,34,27,0,0,-1.0,-1.0,true
2020_09_NO_TB,2020,away,0.48812183675606613,9.710211003052693,148,TB,NO,3,38,1,1,1.48,1.48,true
2020_09_SEA_BUF,2020,home,0.48817108901545025,8.997137889263396,146,BUF,SEA,44,34,1,1,1.46,1.46,true
2020_10_HOU_CLE,2020,away,0.43708939322278406,10.07833869909156,185,CLE,HOU,10,7,0,0,-1.0,-1.0,true
2020_10_MIN_CHI,2020,home,0.4877532044259362,9.863680469992081,148,CHI,MIN,13,19,0,0,-1.0,-1.0,true
2020_10_PHI_NYG,2020,home,0.45879474390514996,12.91806585330546,200,NYG,PHI,27,17,1,1,2.0,2.0,true
2020_10_SEA_LA,2020,away,0.4865698013270551,6.06052457851336,126,LAR,SEA,23,16,0,0,-1.0,-1.0,true
2020_11_LA_TB,2020,away,0.41157346781106685,5.708244984699501,180,TB,LAR,24,27,1,1,1.8,1.8,true
2020_12_HOU_DET,2020,home,0.4767431595396512,6.842241877509469,138,DET,HOU,25,41,0,0,-1.0,-1.0,true
2020_12_LV_ATL,2020,home,0.4770726180408196,9.763143142474506,155,ATL,LV,43,6,1,1,1.55,1.55,true
2020_12_TEN_IND,2020,away,0.4302008547467553,1.1208810506623645,128,IND,TEN,26,45,1,1,1.28,1.28,true
2020_14_ARI_NYG,2020,home,0.4968945699247331,8.529127709839045,130,NYG,ARI,7,26,0,0,-1.0,-1.0,true
2020_15_SF_DAL,2020,home,0.4696660697958972,12.695643832002034,184,DAL,SF,41,33,1,1,1.84,1.84,true
2020_18_BAL_TEN,2020,home,0.48745308025857303,12.330353954060625,164,TEN,BAL,13,20,0,0,-1.0,-1.0,true
2021_03_ATL_NYG,2021,away,0.4653450438181581,3.831003749171363,130,NYG,ATL,14,17,1,1,1.3,1.3,true
2021_03_IND_TEN,2021,away,0.4239384149564922,8.686097329888964,185,TEN,IND,25,16,0,0,-1.0,-1.0,true
2021_04_CAR_DAL,2021,away,0.40722958296209044,5.757923331174075,176,DAL,CAR,36,28,0,0,-1.0,-1.0,true
2021_04_IND_MIA,2021,away,0.48033556813187794,5.4371012589956464,125,MIA,IND,17,27,1,1,1.25,1.25,true
2021_05_BUF_KC,2021,away,0.4676906782691417,4.06556719426972,130,KC,BUF,20,38,1,1,1.3,1.3,true
