season,side,band,N,wins,pushes,hit_rate,profit,roi,avg_breakeven,hr_minus_be,avg_p_model,avg_price,avg_edge_pp,brier,edgeband
2020,home,40-45,5,2,0,0.4,-0.14,-0.028,0.4115,-0.0115,0.4278,144.4,2.7626,0.2367,
2020,home,45-50,15,8,0,0.5333,5.14,0.3427,0.4001,0.1333,0.476,151.73,8.6233,0.255,
2020,away,40-45,10,6,0,0.6,4.68,0.468,0.3996,0.2004,0.4284,152.1,4.108,0.2666,
2020,away,45-50,6,5,0,0.8333,5.88,0.98,0.4253,0.408,0.4822,135.67,6.9841,0.2637,
2021,home,40-45,11,3,0,0.2727,-3.37,-0.3064,0.3845,-0.1118,0.4335,161.73,6.4955,0.2253,
2021,home,45-50,8,5,0,0.625,5.13,0.6412,0.3886,0.2364,0.4769,159.12,9.7978,0.2525,
2021,away,40-45,17,8,0,0.4706,2.82,0.1659,0.3983,0.0723,0.4247,152.18,4.0624,0.2499,
2021,away,45-50,13,9,0,0.6923,10.07,0.7746,0.4088,0.2835,0.4686,147.46,7.2111,0.2634,
2022,home,40-45,6,3,0,0.5,2.21,0.3683,0.3699,0.1301,0.4283,171.0,6.8481,0.2601,
2022,home,45-50,14,7,0,0.5,4.27,0.305,0.3958,0.1042,0.4701,154.71,8.6539,0.2524,
2022,away,40-45,12,4,0,0.3333,-2.3,-0.1917,0.4052,-0.0719,0.4223,148.42,3.1513,0.2246,
2022,away,45-50,14,6,0,0.4286,0.77,0.055,0.4035,0.025,0.4652,151.0,7.821,0.248,
2023,home,40-45,12,5,0,0.4167,1.16,0.0967,0.378,0.0387,0.4285,166.83,6.3468,0.2358,
2023,home,45-50,12,5,0,0.4167,-0.74,-0.0617,0.4376,-0.021,0.4741,129.0,4.6867,0.25,
2023,away,40-45,24,3,0,0.125,-16.6,-0.6917,0.4014,-0.2764,0.4232,150.58,4.1135,0.1969,
2023,away,45-50,10,4,0,0.4,-0.38,-0.038,0.4198,-0.0198,0.4735,139.4,6.7338,0.2501,
2024,home,40-45,5,2,0,0.4,0.16,0.032,0.4066,-0.0066,0.425,147.2,2.7675,0.2449,
2024,home,45-50,11,0,0,0.0,-11.0,-1.0,0.3996,-0.3996,0.4704,151.82,8.1991,0.2214,
2024,away,40-45,13,6,0,0.4615,1.4,0.1077,0.4066,0.0549,0.4267,147.77,3.6005,0.2419,
2024,away,45-50,14,7,0,0.5,2.68,0.1914,0.4217,0.0783,0.4702,138.71,6.6271,0.255,
2020,home,,6,3,0,0.5,0.6,0.1,0.4318,0.0682,0.4409,132.67,1.9691,0.2373,0-5
2020,away,,7,5,0,0.7143,4.58,0.6543,0.4258,0.2885,0.4354,135.71,2.0249,0.2744,0-5
2021,home,,6,2,0,0.3333,-1.33,-0.2217,0.4244,-0.091,0.4455,135.83,3.4304,0.2351,0-5
2021,away,,15,9,0,0.6,6.72,0.448,0.4224,0.1776,0.4358,137.6,2.5664,0.2689,0-5
2022,home,,5,2,0,0.4,-0.2,-0.04,0.4164,-0.0164,0.445,142.0,3.1604,0.2501,0-5
2022,away,,13,6,0,0.4615,0.49,0.0377,0.4336,0.0279,0.4368,131.31,1.6094,0.2447,0-5
2023,home,,13,6,0,0.4615,0.72,0.0554,0.4273,0.0342,0.4449,135.46,2.8812,0.2395,0-5
2023,away,,18,3,0,0.1667,-11.26,-0.6256,0.424,-0.2573,0.429,136.28,2.4554,0.1958,0-5
2024,home,,5,1,0,0.2,-2.64,-0.528,0.4221,-0.2221,0.4351,137.2,1.9208,0.2178,0-5
2024,away,,13,7,0,0.5385,2.76,0.2123,0.4402,0.0983,0.4414,127.69,1.9075,0.249,0-5
2020,home,,5,2,0,0.4,0.09,0.018,0.3993,0.0007,0.4577,150.8,6.6178,0.2497,5-8
2020,away,,6,4,0,0.6667,3.98,0.6633,0.4028,0.2639,0.4508,150.0,6.1264,0.2706,5-8
2021,home,,4,2,0,0.5,1.28,0.32,0.3799,0.1201,0.4349,163.25,6.9275,0.2606,5-8
2021,away,,8,3,0,0.375,-0.6,-0.075,0.3978,-0.0228,0.4445,152.88,5.953,0.2246,5-8
2022,home,,3,2,0,0.6667,1.93,0.6433,0.4103,0.2564,0.4571,145.0,6.8038,0.2643,5-8
2022,away,,4,0,0,0.0,-4.0,-1.0,0.4002,-0.4002,0.4407,150.75,5.9292,0.1956,5-8
2023,home,,6,2,0,0.3333,-1.2,-0.2,0.4096,-0.0762,0.465,145.5,6.833,0.2405,5-8
2023,away,,11,3,0,0.2727,-3.48,-0.3164,0.3976,-0.1248,0.4449,152.73,6.6053,0.2336,5-8
2024,home,,6,1,0,0.1667,-3.2,-0.5333,0.4095,-0.2428,0.4539,145.33,5.7762,0.2364,5-8
2024,away,,8,3,0,0.375,-0.66,-0.0825,0.3979,-0.0229,0.4462,153.12,6.529,0.2372,5-8
2020,home,,9,5,0,0.5556,4.31,0.4789,0.3857,0.1699,0.4827,160.89,10.9178,0.2595,8+
2020,away,,3,2,0,0.6667,2.0,0.6667,0.3836,0.283,0.4748,161.67,10.6842,0.2346,8+
2021,home,,9,4,0,0.4444,1.81,0.2011,0.3636,0.0808,0.4635,176.0,11.2823,0.2272,8+
2021,away,,7,5,0,0.7143,6.77,0.9671,0.3669,0.3474,0.46,173.86,10.955,0.2633,8+
2022,home,,12,6,0,0.5,4.75,0.3958,0.3706,0.1294,0.4629,170.58,10.5025,0.2543,8+
2022,away,,9,4,0,0.4444,1.98,0.22,0.3638,0.0806,0.46,176.11,11.4079,0.245,8+
2023,home,,5,2,0,0.4,0.9,0.18,0.355,0.045,0.4515,183.2,10.7899,0.2546,8+
2023,away,,5,1,0,0.2,-2.24,-0.448,0.3652,-0.1652,0.4554,175.0,9.8413,0.2266,8+
2024,home,,5,0,0,0.0,-5.0,-1.0,0.3722,-0.3722,0.4801,169.6,11.9533,0.2306,8+
2024,away,,6,3,0,0.5,1.98,0.33,0.3807,0.1193,0.4704,163.0,10.426,0.2634,8+
