season,band,N,wins,pushes,hit_rate,profit,roi,avg_breakeven,hr_minus_be,avg_p_model,avg_price,avg_edge_pp,brier
ALL,111-125,16,10,0,0.625,5.83,0.3644,0.4598,0.1652,0.4534,117.56,0.7533,0.2639
ALL,126-150,34,9,0,0.2647,-12.89,-0.3791,0.4212,-0.1565,0.4168,137.68,0.9887,0.2155
ALL,151-175,17,9,0,0.5294,6.49,0.3818,0.3828,0.1466,0.3838,161.35,0.9093,0.2729
ALL,176-200,6,0,0,0.0,-6.0,-1.0,0.3393,-0.3393,0.3396,194.83,1.0013,0.1155
2020,111-125,4,4,0,1.0,4.78,1.195,0.4556,0.5444,0.4526,119.5,0.8549,0.2997
2020,126-150,5,1,0,0.2,-2.72,-0.544,0.4162,-0.2162,0.4205,140.8,1.4914,0.205
2020,151-175,2,1,0,0.5,0.63,0.315,0.3753,0.1247,0.3867,166.5,0.9535,0.2597
2020,176-200,1,0,0,0.0,-1.0,-1.0,0.3472,-0.3472,0.3398,188.0,0.7136,0.1155
2021,111-125,2,0,0,0.0,-2.0,-1.0,0.4651,-0.4651,0.4545,115.0,0.4571,0.2066
2021,126-150,4,3,0,0.75,2.95,0.7375,0.4306,0.3194,0.4249,132.25,0.9834,0.2835
2021,151-175,3,2,0,0.6667,2.32,0.7733,0.3799,0.2868,0.3741,163.33,0.6065,0.3158
2021,176-200,1,0,0,0.0,-1.0,-1.0,0.3356,-0.3356,0.3307,198.0,1.0177,0.1093
2022,111-125,3,2,0,0.6667,1.37,0.4567,0.4583,0.2084,0.4501,118.33,0.5771,0.2684
2022,126-150,5,3,0,0.6,2.1,0.42,0.4207,0.1793,0.4109,138.0,0.5839,0.2785
2022,151-175,7,5,0,0.7143,5.86,0.8371,0.3889,0.3254,0.3899,157.14,0.9144,0.3112
2023,111-125,4,2,0,0.5,0.28,0.07,0.4632,0.0368,0.4588,116.0,1.0515,0.243
2023,126-150,11,0,0,0.0,-11.0,-1.0,0.4212,-0.4212,0.4134,137.64,0.9562,0.1711
2023,151-175,4,1,0,0.25,-1.32,-0.33,0.3775,-0.1275,0.3773,165.0,0.9442,0.2105
2023,176-200,1,0,0,0.0,-1.0,-1.0,0.3333,-0.3333,0.3432,200.0,1.394,0.1178
2024,111-125,3,2,0,0.6667,1.4,0.4667,0.4588,0.2079,0.45,118.0,0.5937,0.2775
2024,126-150,9,2,0,0.2222,-4.22,-0.4689,0.42,-0.1978,0.4187,138.22,0.9762,0.2103
2024,151-175,1,0,0,0.0,-1.0,-1.0,0.3846,-0.3846,0.3903,160.0,1.5541,0.1524
2024,176-200,3,0,0,0.0,-3.0,-1.0,0.3399,-0.3399,0.3414,194.33,0.9609,0.1168
