season,band,N,wins,pushes,hit_rate,profit,roi,avg_breakeven,hr_minus_be,avg_p_model,avg_price,avg_edge_pp,brier
ALL,111-125,31,19,0,0.6129,10.76,0.3471,0.4559,0.157,0.4641,119.42,2.4284,0.2601
ALL,126-150,103,41,0,0.3981,-5.32,-0.0517,0.4206,-0.0226,0.4496,137.96,4.3475,0.2393
ALL,151-175,59,21,0,0.3559,-3.63,-0.0615,0.3811,-0.0251,0.4441,162.63,7.6854,0.2393
ALL,176-200,39,17,0,0.4359,10.03,0.2572,0.3486,0.0873,0.4446,187.08,10.613,0.2381
2020,111-125,5,5,0,1.0,6.0,1.2,0.4546,0.5454,0.4567,120.0,1.3045,0.2952
2020,126-150,17,9,0,0.5294,4.59,0.27,0.4184,0.111,0.462,139.35,5.6944,0.2489
2020,151-175,9,4,0,0.4444,1.33,0.1478,0.3851,0.0594,0.4581,159.89,8.2394,0.2515
2020,176-200,5,3,0,0.6,3.64,0.728,0.3512,0.2488,0.4389,185.0,9.7331,0.2572
2021,111-125,4,1,0,0.25,-1.75,-0.4375,0.4548,-0.2048,0.4702,120.0,3.0656,0.2311
2021,126-150,19,12,0,0.6316,9.57,0.5037,0.4219,0.2096,0.4481,137.21,3.8295,0.2609
2021,151-175,15,7,0,0.4667,3.47,0.2313,0.3829,0.0838,0.4378,161.4,6.9669,0.2517
2021,176-200,11,5,0,0.4545,3.36,0.3055,0.3496,0.105,0.4486,186.18,11.192,0.2286
2022,111-125,9,5,0,0.5556,2.09,0.2322,0.452,0.1035,0.4666,121.33,2.8459,0.2551
2022,126-150,12,4,0,0.3333,-2.6,-0.2167,0.4182,-0.0849,0.4444,139.33,4.1893,0.2386
2022,151-175,19,7,0,0.3684,-0.35,-0.0184,0.3767,-0.0083,0.445,165.63,8.1961,0.2374
2022,176-200,6,4,0,0.6667,5.81,0.9683,0.3379,0.3287,0.4575,196.0,12.9906,0.2654
2023,111-125,6,3,0,0.5,0.42,0.07,0.4611,0.0389,0.4672,117.0,2.5287,0.2466
2023,126-150,34,10,0,0.2941,-10.32,-0.3035,0.4215,-0.1274,0.4471,137.47,4.1388,0.2273
2023,151-175,8,1,0,0.125,-5.32,-0.665,0.3801,-0.2551,0.4229,163.25,6.0615,0.2027
2023,176-200,10,3,0,0.3,-1.34,-0.134,0.348,-0.048,0.4336,187.6,9.4081,0.2226
2024,111-125,7,5,0,0.7143,4.0,0.5714,0.4582,0.2561,0.4601,118.29,2.2444,0.2697
2024,126-150,21,6,0,0.2857,-6.56,-0.3124,0.4213,-0.1356,0.4481,137.52,4.1542,0.2321
2024,151-175,8,2,0,0.25,-2.76,-0.345,0.3846,-0.1346,0.4588,160.25,8.8202,0.2434
2024,176-200,7,2,0,0.2857,-1.44,-0.2057,0.3553,-0.0696,0.4468,181.57,10.0147,0.2381
