season,band,N,wins,pushes,hit_rate,profit,roi,avg_breakeven,hr_minus_be,avg_p_model,avg_price,avg_edge_pp,brier
ALL,111-125,13,6,0,0.4615,0.3,0.0231,0.4538,0.0078,0.472,120.46,3.8014,0.2437
ALL,126-150,52,23,0,0.4423,3.18,0.0612,0.4192,0.0231,0.4654,138.81,6.1308,0.248
ALL,151-175,39,13,0,0.3333,-4.61,-0.1182,0.3805,-0.0472,0.4536,163.03,8.8056,0.2393
ALL,176-200,36,15,0,0.4167,7.47,0.2075,0.3482,0.0684,0.4463,187.39,10.8754,0.2357
2020,126-150,11,7,0,0.6364,5.99,0.5445,0.417,0.2193,0.4749,140.09,7.2879,0.2667
2020,151-175,8,4,0,0.5,2.33,0.2913,0.3842,0.1158,0.4582,160.5,8.4237,0.2568
2020,176-200,5,3,0,0.6,3.64,0.728,0.3512,0.2488,0.4389,185.0,9.7331,0.2572
2021,111-125,2,1,0,0.5,0.25,0.125,0.4548,0.0452,0.4683,120.0,2.9915,0.2391
2021,126-150,11,8,0,0.7273,8.07,0.7336,0.4203,0.307,0.4588,138.18,4.8893,0.2614
2021,151-175,7,1,0,0.1429,-4.28,-0.6114,0.3848,-0.242,0.442,160.14,7.4596,0.2068
2021,176-200,11,5,0,0.4545,3.36,0.3055,0.3496,0.105,0.4486,186.18,11.192,0.2286
2022,111-125,6,2,0,0.3333,-1.53,-0.255,0.4513,-0.1179,0.4724,121.67,3.6931,0.2341
2022,126-150,5,2,0,0.4,-0.2,-0.04,0.4171,-0.0171,0.47,140.0,6.8852,0.2501
2022,151-175,13,5,0,0.3846,0.42,0.0323,0.3759,0.0087,0.4597,166.23,9.8617,0.2419
2022,176-200,6,4,0,0.6667,5.81,0.9683,0.3379,0.3287,0.4575,196.0,12.9906,0.2654
2023,111-125,2,1,0,0.5,0.14,0.07,0.4569,0.0431,0.4841,119.0,5.483,0.2537
2023,126-150,17,5,0,0.2941,-5.18,-0.3047,0.4197,-0.1255,0.4611,138.53,5.8176,0.2385
2023,151-175,5,1,0,0.2,-2.32,-0.464,0.3801,-0.1801,0.4308,163.2,6.8503,0.2236
2023,176-200,10,3,0,0.3,-1.34,-0.134,0.348,-0.048,0.4336,187.6,9.4081,0.2226
2024,111-125,3,2,0,0.6667,1.44,0.48,0.4561,0.2106,0.4657,119.33,3.4368,0.2595
2024,126-150,8,1,0,0.125,-5.5,-0.6875,0.421,-0.296,0.4678,137.75,6.4408,0.2226
2024,151-175,6,2,0,0.3333,-0.76,-0.1267,0.381,-0.0477,0.4667,162.67,10.2262,0.2613
2024,176-200,4,0,0,0.0,-4.0,-1.0,0.3569,-0.3569,0.4646,180.25,11.9281,0.2165
