team,N,profit,wins,abs_profit
SF,5,7.26,5,7.26
LAC,6,-6.0,0,6.0
WAS,9,5.67,6,5.67
NYG,9,5.02,5,5.02
CHI,5,-5.0,0,5.0
DEN,7,-4.68,1,4.68
MIA,7,-4.54,1,4.54
CLE,9,-3.8499999999999996,2,3.8499999999999996
HOU,11,3.66,6,3.66
GB,4,3.54,3,3.54
TEN,9,3.5300000000000002,5,3.5300000000000002
ARI,9,3.46,5,3.46
DET,8,-3.02,2,3.02
BUF,4,2.96,3,2.96
PIT,8,2.84,4,2.84
NE,10,-2.8,3,2.8
IND,10,2.65,5,2.65
LV,10,-2.49,3,2.49
CAR,9,-2.12,3,2.12
DAL,7,1.62,3,1.62
TB,8,1.52,4,1.52
PHI,3,1.5,2,1.5
JAX,8,1.35,4,1.35
CIN,4,-1.3,1,1.3
KC,3,1.28,2,1.28
BAL,1,-1.0,0,1.0
NO,6,-0.8400000000000001,2,0.8400000000000001
ATL,9,0.74,4,0.74
SEA,10,0.6299999999999999,4,0.6299999999999999
MIN,7,0.26,3,0.26
LAR,10,-0.15999999999999992,4,0.15999999999999992
NYJ,7,0.1499999999999999,3,0.1499999999999999
