team,N,profit,wins,abs_profit
NYG,7,7.02,5,7.02
WAS,5,5.07,4,5.07
CHI,5,-5.0,0,5.0
DET,5,-5.0,0,5.0
GB,3,4.54,3,4.54
TEN,6,4.23,4,4.23
LAC,4,-4.0,0,4.0
IND,9,3.65,5,3.65
ARI,4,3.5599999999999996,3,3.5599999999999996
MIA,6,-3.54,1,3.54
DAL,3,2.8200000000000003,2,2.8200000000000003
NE,5,-2.7,1,2.7
DEN,5,-2.6799999999999997,1,2.6799999999999997
NO,5,-2.52,1,2.52
LV,5,2.51,3,2.51
SEA,8,-2.25,2,2.25
CIN,2,-2.0,0,2.0
BUF,3,1.76,2,1.76
ATL,6,1.6,3,1.6
JAX,4,-1.5,1,1.5
PIT,7,1.42,3,1.42
HOU,4,1.4,2,1.4
SF,1,1.38,1,1.38
TB,4,-1.24,1,1.24
KC,1,-1.0,0,1.0
BAL,1,-1.0,0,1.0
PHI,1,-1.0,0,1.0
MIN,4,0.74,2,0.74
CAR,5,-0.32000000000000006,2,0.32000000000000006
CLE,5,0.15000000000000013,2,0.15000000000000013
NYJ,2,0.1399999999999999,1,0.1399999999999999
LAR,5,0.10000000000000009,2,0.10000000000000009
