season,week,cum_profit,cum_wins,cum_roi,n
2020,003,1.52,1,1.52,1
2020,004,2.95,2,1.475,2
2020,004,1.95,2,0.65,3
2020,004,3.55,3,0.8875,4
2020,004,5.05,4,1.01,5
2020,005,6.25,5,1.0417,6
2020,006,5.25,5,0.75,7
2020,006,6.45,6,0.8063,8
2020,006,7.63,7,0.8478,9
2020,007,6.63,7,0.663,10
2020,007,8.29,8,0.7536,11
2020,007,9.67,9,0.8058,12
2020,007,8.67,9,0.6669,13
2020,008,7.67,9,0.5479,14
2020,008,9.13,10,0.6087,15
2020,009,8.13,10,0.5081,16
2020,009,9.61,11,0.5653,17
2020,009,11.07,12,0.615,18
2020,010,10.07,12,0.53,19
2020,010,9.07,12,0.4535,20
2020,010,11.07,13,0.5271,21
2020,010,10.07,13,0.4577,22
2020,011,9.07,13,0.3943,23
2020,011,10.87,14,0.4529,24
2020,011,12.09,15,0.4836,25
2020,012,11.09,15,0.4265,26
2020,012,12.64,16,0.4681,27
2020,012,13.92,17,0.4971,28
2020,012,15.22,18,0.5248,29
2020,013,14.22,18,0.474,30
2020,014,13.22,18,0.4265,31
2020,014,14.52,19,0.4538,32
2020,015,16.36,20,0.4958,33
2020,017,15.36,20,0.4518,34
2020,018,14.36,20,0.4103,35
2020,019,15.56,21,0.4322,36
2021,003,1.3,1,1.3,1
2021,003,0.3,1,0.15,2
2021,004,-0.7,1,-0.2333,3
2021,004,0.55,2,0.1375,4
2021,005,1.85,3,0.37,5
2021,005,0.85,3,0.1417,6
2021,005,-0.15,3,-0.0214,7
2021,006,1.3,4,0.1625,8
2021,006,0.3,4,0.0333,9
2021,006,-0.7,4,-0.07,10
2021,006,-1.7,4,-0.1545,11
2021,006,0.14,5,0.0117,12
2021,006,1.49,6,0.1146,13
2021,007,3.29,7,0.235,14
2021,007,2.29,7,0.1527,15
2021,008,3.89,8,0.2431,16
2021,008,2.89,8,0.17,17
2021,008,4.57,9,0.2539,18
2021,009,3.57,9,0.1879,19
2021,009,2.57,9,0.1285,20
2021,010,1.57,9,0.0748,21
2021,010,0.57,9,0.0259,22
2021,010,2.17,10,0.0943,23
2021,010,3.69,11,0.1538,24
2021,010,2.69,11,0.1076,25
