family,model,bucket,N,wins,losses,pushes,hit_rate,avg_american,avg_decimal,avg_breakeven,exp_wins,realized_minus_exp,hr_minus_be,profit,roi,avg_implied_ev,unique_weeks,longest_losing_streak,max_drawdown,worst_rolling10,boot_point_roi,boot_2p5,boot_97p5,boot_p_pos,largest_season_share,largest_sel_team_share,per_season,status
ML_QBELO_DISAGREEMENT,QB_ELO,0-2,132,57,74,1,0.4318,27.96,2.8377,0.4735,62.5,-5.5,-0.0416,6.51,0.0493,0.0023,55,7,8.27,-7.3,0.0493,-0.2212,0.346,0.634,0.3333,0.0606,"{""2020"": {""N"": 44, ""hit_rate"": 0.3864, ""profit"": -0.34, ""roi"": -0.0077}, ""2021"": {""N"": 44, ""hit_rate"": 0.5227, ""profit"": 13.05, ""roi"": 0.2965}, ""2022"": {""N"": 44, ""hit_rate"": 0.3864, ""profit"": -6.2, ""roi"": -0.1408}}",DISCOVERY_NEGATIVE
ML_QBELO_DISAGREEMENT,QB_ELO,2-4,122,56,65,1,0.459,-8.48,2.4402,0.5079,61.97,-5.97,-0.0489,-14.33,-0.1175,0.0466,54,6,20.2,-7.55,-0.1175,-0.322,0.0987,0.1322,0.3525,0.0574,"{""2020"": {""N"": 40, ""hit_rate"": 0.4, ""profit"": -10.97, ""roi"": -0.2743}, ""2021"": {""N"": 43, ""hit_rate"": 0.4186, ""profit"": -5.75, ""roi"": -0.1338}, ""2022"": {""N"": 39, ""hit_rate"": 0.5641, ""profit"": 2.39, ""roi"": 0.0613}}",DISCOVERY_NEGATIVE
ML_QBELO_DISAGREEMENT,QB_ELO,4-8,214,94,120,0,0.4393,57.83,2.7465,0.4567,97.73,-3.73,-0.0174,-21.6,-0.1009,0.1328,60,7,31.1,-8.75,-0.1009,-0.2519,0.0612,0.1036,0.3458,0.0561,"{""2020"": {""N"": 71, ""hit_rate"": 0.4648, ""profit"": -2.29, ""roi"": -0.0323}, ""2021"": {""N"": 69, ""hit_rate"": 0.4058, ""profit"": -7.6, ""roi"": -0.1101}, ""2022"": {""N"": 74, ""hit_rate"": 0.4459, ""profit"": -11.71, ""roi"": -0.1582}}",DISCOVERY_NEGATIVE
ML_QBELO_DISAGREEMENT,QB_ELO,8-12,181,70,110,1,0.3867,123.09,2.9694,0.4181,75.67,-5.67,-0.0313,-9.9,-0.0547,0.2674,56,8,16.97,-8.46,-0.0547,-0.2446,0.1466,0.2886,0.3481,0.0663,"{""2020"": {""N"": 63, ""hit_rate"": 0.381, ""profit"": -6.92, ""roi"": -0.1098}, ""2021"": {""N"": 60, ""hit_rate"": 0.4, ""profit"": 1.89, ""roi"": 0.0315}, ""2022"": {""N"": 58, ""hit_rate"": 0.3793, ""profit"": -4.87, ""roi"": -0.084}}",DISCOVERY_NEGATIVE
ML_QBELO_DISAGREEMENT,QB_ELO,12+,189,64,124,1,0.3386,157.79,3.0257,0.3851,72.78,-8.78,-0.0465,-30.04,-0.1589,0.5282,57,8,36.53,-7.94,-0.1589,-0.3317,0.0237,0.0422,0.3651,0.0899,"{""2020"": {""N"": 51, ""hit_rate"": 0.3333, ""profit"": -13.46, ""roi"": -0.2639}, ""2021"": {""N"": 69, ""hit_rate"": 0.3333, ""profit"": -7.44, ""roi"": -0.1079}, ""2022"": {""N"": 69, ""hit_rate"": 0.3478, ""profit"": -9.14, ""roi"": -0.1324}}",DISCOVERY_NEGATIVE
ML_QBELO_DISAGREEMENT,QB_ELO,ALL,838,341,493,4,0.4069,80.11,2.8274,0.4423,370.64,-29.64,-0.0354,-69.36,-0.0828,0.2179,65,8,79.32,-8.86,-0.0828,-0.1687,0.0091,0.0374,0.3401,0.0477,"{""2020"": {""N"": 269, ""hit_rate"": 0.3978, ""profit"": -33.98, ""roi"": -0.1263}, ""2021"": {""N"": 285, ""hit_rate"": 0.407, ""profit"": -5.86, ""roi"": -0.0206}, ""2022"": {""N"": 284, ""hit_rate"": 0.4155, ""profit"": -29.52, ""roi"": -0.1039}}",DISCOVERY_NEGATIVE
ML_XGB_DISAGREEMENT,XGB,0-2,83,36,47,0,0.4337,12.01,2.4368,0.5042,41.85,-5.85,-0.0705,-16.31,-0.1965,-0.0065,43,6,19.67,-6.47,-0.1965,-0.3905,-0.0038,0.023,0.3494,0.0723,"{""2020"": {""N"": 29, ""hit_rate"": 0.4828, ""profit"": 0.5, ""roi"": 0.0174}, ""2021"": {""N"": 25, ""hit_rate"": 0.4, ""profit"": -8.24, ""roi"": -0.3295}, ""2022"": {""N"": 29, ""hit_rate"": 0.4138, ""profit"": -8.58, ""roi"": -0.2957}}",DISCOVERY_NEGATIVE
ML_XGB_DISAGREEMENT,XGB,2-4,70,26,44,0,0.3714,103.87,2.8604,0.4353,30.47,-4.47,-0.0638,-10.96,-0.1566,0.06,38,7,14.08,-8.69,-0.1566,-0.4523,0.1815,0.1664,0.3857,0.1,"{""2020"": {""N"": 24, ""hit_rate"": 0.3333, ""profit"": -6.91, ""roi"": -0.2881}, ""2021"": {""N"": 27, ""hit_rate"": 0.4444, ""profit"": 3.92, ""roi"": 0.1452}, ""2022"": {""N"": 19, ""hit_rate"": 0.3158, ""profit"": -7.97, ""roi"": -0.4193}}",DISCOVERY_NEGATIVE
ML_XGB_DISAGREEMENT,XGB,4-8,168,73,95,0,0.4345,110.32,2.7401,0.4278,71.87,1.13,0.0067,4.31,0.0256,0.1344,49,6,8.87,-6.75,0.0256,-0.1482,0.203,0.6096,0.381,0.0714,"{""2020"": {""N"": 43, ""hit_rate"": 0.4651, ""profit"": 3.66, ""roi"": 0.0851}, ""2021"": {""N"": 61, ""hit_rate"": 0.4098, ""profit"": 2.22, ""roi"": 0.0364}, ""2022"": {""N"": 64, ""hit_rate"": 0.4375, ""profit"": -1.57, ""roi"": -0.0246}}",DISCOVERY_POSITIVE
ML_XGB_DISAGREEMENT,XGB,8-12,125,47,76,2,0.376,151.58,3.0079,0.3939,49.24,-2.24,-0.0179,-14.42,-0.1153,0.2669,45,9,24.77,-8.47,-0.1153,-0.3122,0.071,0.1176,0.44,0.072,"{""2020"": {""N"": 42, ""hit_rate"": 0.4524, ""profit"": 1.96, ""roi"": 0.0466}, ""2021"": {""N"": 55, ""hit_rate"": 0.3273, ""profit"": -10.77, ""roi"": -0.1959}, ""2022"": {""N"": 28, ""hit_rate"": 0.3571, ""profit"": -5.6, ""roi"": -0.2}}",DISCOVERY_NEGATIVE
